Series ID,Year,Period,Label,Value
CUUSS37BSA0,1984,S01,1984 Half1,101.6
CUUSS37BSA0,1984,S02,1984 Half2,103.8
CUUSS37BSA0,1985,S01,1985 Half1,104.5
CUUSS37BSA0,1985,S02,1985 Half2,105.3
CUUSS37BSA0,1986,S01,1986 Half1,104.1
CUUSS37BSA0,1986,S02,1986 Half2,103.8
CUUSS37BSA0,1987,S01,1987 Half1,105.5
CUUSS37BSA0,1987,S02,1987 Half2,107.5
CUUSS37BSA0,1988,S01,1988 Half1,108.4
CUUSS37BSA0,1988,S02,1988 Half2,110.7
CUUSS37BSA0,1989,S01,1989 Half1,113.1
CUUSS37BSA0,1989,S02,1989 Half2,115.1
CUUSS37BSA0,1990,S01,1990 Half1,118.6
CUUSS37BSA0,1990,S02,1990 Half2,122.6
CUUSS37BSA0,1991,S01,1991 Half1,124.1
CUUSS37BSA0,1991,S02,1991 Half2,126.2
CUUSS37BSA0,1992,S01,1992 Half1,128.2
CUUSS37BSA0,1992,S02,1992 Half2,130.0
CUUSS37BSA0,1993,S01,1993 Half1,131.8
CUUSS37BSA0,1993,S02,1993 Half2,135.1
CUUSS37BSA0,1994,S01,1994 Half1,137.0
CUUSS37BSA0,1994,S02,1994 Half2,138.7
CUUSS37BSA0,1995,S01,1995 Half1,138.9
CUUSS37BSA0,1995,S02,1995 Half2,140.8
CUUSS37BSA0,1996,S01,1996 Half1,142.3
CUUSS37BSA0,1996,S02,1996 Half2,143.1
CUUSS37BSA0,1997,S01,1997 Half1,144.7
CUUSS37BSA0,1997,S02,1997 Half2,146.0
CUUSS37BSA0,1998,S01,1998 Half1,146.2
CUUSS37BSA0,1998,S02,1998 Half2,147.4
CUUSS37BSA0,1999,S01,1999 Half1,147.5
CUUSS37BSA0,1999,S02,1999 Half2,150.0
CUUSS37BSA0,2000,S01,2000 Half1,152.7
CUUSS37BSA0,2000,S02,2000 Half2,155.7
CUUSS37BSA0,2001,S01,2001 Half1,158.9
CUUSS37BSA0,2001,S02,2001 Half2,158.6
CUUSS37BSA0,2002,S01,2002 Half1,157.8
CUUSS37BSA0,2002,S02,2002 Half2,160.7
CUUSS37BSA0,2003,S01,2003 Half1,162.8
CUUSS37BSA0,2003,S02,2003 Half2,164.6
CUUSS37BSA0,2004,S01,2004 Half1,168.7
CUUSS37BSA0,2004,S02,2004 Half2,170.2
CUUSS37BSA0,2005,S01,2005 Half1,174.3
CUUSS37BSA0,2005,S02,2005 Half2,177.0
CUUSS37BSA0,2006,S01,2006 Half1,180.3
CUUSS37BSA0,2006,S02,2006 Half2,181.0
CUUSS37BSA0,2007,S01,2007 Half1,182.851
CUUSS37BSA0,2007,S02,2007 Half2,184.826
CUUSS37BSA0,2008,S01,2008 Half1,189.369
CUUSS37BSA0,2008,S02,2008 Half2,190.564
CUUSS37BSA0,2009,S01,2009 Half1,189.465
CUUSS37BSA0,2009,S02,2009 Half2,191.525
CUUSS37BSA0,2010,S01,2010 Half1,193.410
CUUSS37BSA0,2010,S02,2010 Half2,194.934
CUUSS37BSA0,2011,S01,2011 Half1,199.480
CUUSS37BSA0,2011,S02,2011 Half2,201.509
CUUSS37BSA0,2012,S01,2012 Half1,204.705
CUUSS37BSA0,2012,S02,2012 Half2,203.721
CUUSS37BSA0,2013,S01,2013 Half1,206.583
CUUSS37BSA0,2013,S02,2013 Half2,208.564
CUUSS37BSA0,2014,S01,2014 Half1,212.835
CUUSS37BSA0,2014,S02,2014 Half2,213.895
CUUSS37BSA0,2015,S01,2015 Half1,211.926
CUUSS37BSA0,2015,S02,2015 Half2,214.152
CUUSS37BSA0,2016,S01,2016 Half1,215.237
CUUSS37BSA0,2016,S02,2016 Half2,217.592
CUUSS37BSA0,2017,S01,2017 Half1,219.513
CUUSS37BSA0,2017,S02,2017 Half2,221.800
CUUSS37BSA0,2018,S01,2018 Half1,224.763
CUUSS37BSA0,2018,S02,2018 Half2,227.091
CUUSS37BSA0,2019,S01,2019 Half1,228.124
CUUSS37BSA0,2019,S02,2019 Half2,229.474
CUUSS37BSA0,2020,S01,2020 Half1,228.580
CUUSS37BSA0,2020,S02,2020 Half2,229.742
CUUSS37BSA0,2021,S01,2021 Half1,235.254
